product_id,product_name,slug,brand,category,user_category,short_description,full_description,product_status,sort_order,goals,aim,search_tags,primary_image_url,image_url_2,image_url_3,image_url_4,image_url_5,serving_size_label,serving_size_g,calories,protein_g,carbohydrates_g,fat_g,fibre_g,sugar_g,sodium_mg,usage_information,ingredients,warnings_allergens,variant_id,sku,variant_name,size_weight,flavour,colour,variant_status,price_inr,compare_at_price_inr,stock_quantity,low_stock_threshold,is_default_variant,created_at,updated_at,variant_count,variant_options,goal_tags
PROD-001,Maxx Recovery,maxx-recovery-abb,ABB,Whey Protein,Protein,Whey Protein Isolate for Post-Workout Recovery*,Whey Protein Isolate for Post-Workout Recovery*,draft,1,Muscle Building,"protein, workout","protein, workout, maxx recovery, abb, whey protein isolate",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-001-01,SKU-0245,30 g,30 g,,,active,3926,4397,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,"protein, workout"
PROD-002,Pure Pro 50,pure-pro-50-abb,ABB,Whey Protein,Protein,Protein Shake for Lean Muscle Support*,Protein Shake for Lean Muscle Support*,draft,2,Muscle Building,protein,"protein, pure pro 50, abb, whey protein",https://maximumnutrition.myshopify.com/cdn/shop/products/85177c83bf5ebf97c71964def6a1c6a8.jpeg?v=1460530531,https://maximumnutrition.myshopify.com/cdn/shop/products/85177c83bf5ebf97c71964def6a1c6a8.jpeg?v=1460530531,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-002-01,SKU-0210,30 g,30 g,,,active,4283,4797,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-003,AS-IT-IS Nutrition Whey Protein Concentrate 80%,as-it-is-nutrition-whey-protein-concentrate-80,AS-IT-IS Nutrition,Whey Protein,Protein,"Raw, unflavoured 80% WPC. Minimal processing, no fillers, no proprietary blends.","AS-IT-IS Whey Protein Concentrate 80% is the most transparent whey protein in India — no artificial flavours, no added sugar, no fillers, just pure whey protein concentrate at exactly what is declared. Lab tested and third-party verified. 24g protein per 30g serving at one of India's most competitive price points.",draft,3,Muscle Building,"Muscle Building,Recovery,Budget-Friendly,Clean Label","as-it-is,whey concentrate,unflavoured,clean label,india,budget protein",https://nutricity.tr/web/image/product.template/49989/image_1920?unique=e02944b,https://nutricity.tr/web/image/product.template/49989/image_1920?unique=e02944b,,,,1 Scoop (30g),30,116,24,3,2,0,1.5,95,Mix 1 scoop in 200ml water or milk. Consume post-workout. Can be added to smoothies or baked goods.,Whey Protein Concentrate 80% (Milk),Contains milk. May contain traces of soy and egg. Not for children under 5.,VAR-003-01,AIT-WPC-1KG-UNF,1kg - Unflavoured,1kg,Unflavoured,,active,1599,1999,0,5,TRUE,2026-08-23T17:59:48Z,2026-08-23T17:59:48Z,3,1kg - Unflavoured | 2kg - Unflavoured | 4kg - Unflavoured,"Muscle Building,Recovery,Budget-Friendly,Clean Label"
PROD-003,AS-IT-IS Nutrition Whey Protein Concentrate 80%,as-it-is-nutrition-whey-protein-concentrate-80,AS-IT-IS Nutrition,Whey Protein,Protein,"Raw, unflavoured 80% WPC. Minimal processing, no fillers, no proprietary blends.","AS-IT-IS Whey Protein Concentrate 80% is the most transparent whey protein in India — no artificial flavours, no added sugar, no fillers, just pure whey protein concentrate at exactly what is declared. Lab tested and third-party verified. 24g protein per 30g serving at one of India's most competitive price points.",draft,3,Muscle Building,"Muscle Building,Recovery,Budget-Friendly,Clean Label","as-it-is,whey concentrate,unflavoured,clean label,india,budget protein",https://nutricity.tr/web/image/product.template/49989/image_1920?unique=e02944b,https://nutricity.tr/web/image/product.template/49989/image_1920?unique=e02944b,,,,1 Scoop (30g),30,116,24,3,2,0,1.5,95,Mix 1 scoop in 200ml water or milk. Consume post-workout. Can be added to smoothies or baked goods.,Whey Protein Concentrate 80% (Milk),Contains milk. May contain traces of soy and egg. Not for children under 5.,VAR-003-02,AIT-WPC-2KG-UNF,2kg - Unflavoured,2kg,Unflavoured,,active,2999,3699,0,5,FALSE,2026-08-23T17:59:48Z,2026-08-23T17:59:48Z,3,1kg - Unflavoured | 2kg - Unflavoured | 4kg - Unflavoured,"Muscle Building,Recovery,Budget-Friendly,Clean Label"
PROD-003,AS-IT-IS Nutrition Whey Protein Concentrate 80%,as-it-is-nutrition-whey-protein-concentrate-80,AS-IT-IS Nutrition,Whey Protein,Protein,"Raw, unflavoured 80% WPC. Minimal processing, no fillers, no proprietary blends.","AS-IT-IS Whey Protein Concentrate 80% is the most transparent whey protein in India — no artificial flavours, no added sugar, no fillers, just pure whey protein concentrate at exactly what is declared. Lab tested and third-party verified. 24g protein per 30g serving at one of India's most competitive price points.",draft,3,Muscle Building,"Muscle Building,Recovery,Budget-Friendly,Clean Label","as-it-is,whey concentrate,unflavoured,clean label,india,budget protein",https://nutricity.tr/web/image/product.template/49989/image_1920?unique=e02944b,https://nutricity.tr/web/image/product.template/49989/image_1920?unique=e02944b,,,,1 Scoop (30g),30,116,24,3,2,0,1.5,95,Mix 1 scoop in 200ml water or milk. Consume post-workout. Can be added to smoothies or baked goods.,Whey Protein Concentrate 80% (Milk),Contains milk. May contain traces of soy and egg. Not for children under 5.,VAR-003-03,AIT-WPC-4KG-UNF,4kg - Unflavoured,4kg,Unflavoured,,active,5499,6799,0,5,FALSE,2026-08-23T17:59:48Z,2026-08-23T17:59:48Z,3,1kg - Unflavoured | 2kg - Unflavoured | 4kg - Unflavoured,"Muscle Building,Recovery,Budget-Friendly,Clean Label"
PROD-004,AllWhey Classic,allwhey-classic-allmax-nutrition,AllMax Nutrition,Whey Protein,Protein,30G Of Great Tasting Whey Protein,30G Of Great Tasting Whey Protein,draft,4,Muscle Building,protein,"protein, allwhey classic, allmax nutrition, whey protein blends",http://store.bbcomcdn.com/deploy/images/brands/allmax-nutrition/allwhey-classic/bottles.png,http://store.bbcomcdn.com/deploy/images/brands/allmax-nutrition/allwhey-classic/bottles.png,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-004-01,SKU-0044,30 g,30 g,,,active,4297,4813,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-005,HEXAPRO,hexapro-allmax-nutrition,AllMax Nutrition,Whey Protein,Protein,Six Protein Powder Blend To Feed Muscles*,Six Protein Powder Blend To Feed Muscles*,draft,5,Muscle Building,protein,"protein, hexapro, allmax nutrition, whey protein",https://supplementsuperstores.com/cdn/shop/files/all-max-hexapro-strawberry.png?v=1775485978&width=3840,https://supplementsuperstores.com/cdn/shop/files/all-max-hexapro-strawberry.png?v=1775485978&width=3840,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-005-01,SKU-0231,30 g,30 g,,,active,5803,6499,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-006,IsoFlex,isoflex-allmax-nutrition,AllMax Nutrition,Whey Protein,Protein,Whey Protein Isolate Powder For Building Muscle*,Whey Protein Isolate Powder For Building Muscle*,draft,6,Muscle Building,protein,"protein, isoflex, allmax nutrition, whey protein isolate",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-006-01,SKU-0238,30 g,30 g,,,active,3855,4318,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-007,IsoNatural,isonatural-allmax-nutrition,AllMax Nutrition,Whey Protein,Protein,Whey Protein Isolate For Building Muscle*,Whey Protein Isolate For Building Muscle*,draft,7,Muscle Building,protein,"protein, isonatural, allmax nutrition, whey protein isolate",https://vtiplvmddgjfcruqrvvb.supabase.co/storage/v1/object/sign/PRODUCT%20IMAGES%20BUCKET/whey-protein.webp?token=eyJraWQiOiJmZTRiZGQ2Yy0zZDI4LTRhODUtYTc1My1lYjc4NjhlNDU5OGEiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJQUk9EVUNUIElNQUdFUyBCVUNLRVQvd2hleS1wcm90ZWluLndlYnAiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg3Njk4MDgyLCJleHAiOjIxMDMwNTgwODJ9.kPrloUocq7_4k7Ms-pBGyuELEwkuYH3We8vpKXO5Ylc,,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-007-01,SKU-0250,30 g,30 g,,,active,7930,8882,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-008,Animal Whey,animal-whey-animal,Animal,Whey Protein,Protein,Formulated with Whey Protein Isolate to Supplement the Extreme Protein Requirements of Hardcore Lifters*,Formulated with Whey Protein Isolate to Supplement the Extreme Protein Requirements of Hardcore Lifters*,draft,8,Muscle Building,protein,"protein, animal whey, animal, whey protein isolate",https://www.factorydirectnutrition.com/cdn/shop/products/11.webp?v=1678324288,https://www.factorydirectnutrition.com/cdn/shop/products/11.webp?v=1678324288,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-008-01,SKU-0010,30 g,30 g,,,active,3991,4470,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-009,Native Fuel Whey Protein,native-fuel-whey-protein-ascent,Ascent,Whey Protein,Protein,Made with Zero Artificial Ingredients and Native Whey,Made with Zero Artificial Ingredients and Native Whey,draft,9,Muscle Building,protein,"protein, native fuel whey protein, ascent, whey protein isolate",https://static.wixstatic.com/media/d4f572_d6a41317c2a74b4bb098d9109e6e56d0~mv2.webp/v1/fill/w_680%2Ch_680%2Cal_c%2Cq_85%2Cenc_avif%2Cquality_auto/d4f572_d6a41317c2a74b4bb098d9109e6e56d0~mv2.webp,https://static.wixstatic.com/media/d4f572_d6a41317c2a74b4bb098d9109e6e56d0~mv2.webp/v1/fill/w_680%2Ch_680%2Cal_c%2Cq_85%2Cenc_avif%2Cquality_auto/d4f572_d6a41317c2a74b4bb098d9109e6e56d0~mv2.webp,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-009-01,SKU-0242,30 g,30 g,,,active,4010,4491,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-010,Isoburn,isoburn-bsn,BSN,Whey Protein,Protein,Protein Powder to Support Weight Management*,Protein Powder to Support Weight Management*,draft,10,Muscle Building,protein,"protein, isoburn, bsn, whey protein",https://s3.images-iherb.com/bsn/bsn00851/u/1.jpg,https://s3.images-iherb.com/bsn/bsn00851/u/1.jpg,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-010-01,SKU-0202,30 g,30 g,,,active,2208,2473,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
PROD-011,Protein Crisp,protein-crisp-bsn,BSN,Whey Protein,Protein,Crispy Protein Bar Provides 20 Grams Of Protein With 4 Grams Of Sugar Per Bar,Crispy Protein Bar Provides 20 Grams Of Protein With 4 Grams Of Sugar Per Bar,draft,11,Muscle Building,protein,"protein, protein crisp, bsn, whey protein",https://s3.images-iherb.com/bsn/bsn90691/u/7.jpg,https://s3.images-iherb.com/bsn/bsn90691/u/7.jpg,,,,30 g,30,120,24,3,2,1,1,100,"Use according to the product label. Store in a cool, dry place.",,Check label for allergens.,VAR-011-01,SKU-0002,30 g,30 g,,,active,1699,1903,0,5,TRUE,2026-08-23T23:05:00+05:30,2026-08-23T23:05:00+05:30,1,30 g,protein
